fecha,precio_eth,volumen_eth,eth_ballena_total,txs_ballena,bdi
2022-10-13,1287.08,945618.3163,0.0,0.0,1818.0
2022-10-14,1296.27,669742.8093,0.0,0.0,1838.0
2022-10-15,1274.92,287100.9529,0.0,0.0,1838.0
2022-10-16,1305.95,293321.3632,0.0,0.0,1838.0
2022-10-17,1331.4,459848.4941,0.0,0.0,1843.0
2022-10-18,1310.71,572728.9189,0.0,0.0,1875.0
2022-10-19,1285.09,368637.5105,0.0,0.0,1871.0
2022-10-20,1282.57,428531.6103,0.0,0.0,1837.0
2022-10-21,1299.75,468076.7986,0.0,0.0,1819.0
2022-10-22,1313.61,221776.7007,0.0,0.0,1819.0
2022-10-23,1364.2,432269.46,0.0,0.0,1819.0
2022-10-24,1343.61,611830.797,0.0,0.0,1797.0
2022-10-25,1459.74,1127932.9012,0.0,0.0,1755.0
2022-10-26,1566.1,1236044.7023,0.0,0.0,1706.0
2022-10-27,1514.05,869454.4851,0.0,0.0,1612.0
2022-10-28,1554.41,858954.4425,0.0,0.0,1534.0
2022-10-29,1619.55,914161.0846,0.0,0.0,1534.0
2022-10-30,1590.44,476036.4243,0.0,0.0,1534.0
2022-10-31,1572.69,810334.2414,0.0,0.0,1463.0
2022-11-01,1578.48,527539.2965,0.0,0.0,1377.0
2022-11-02,1518.34,981395.3648,0.0,0.0,1321.0
2022-11-03,1531.01,560202.8813,0.0,0.0,1290.0
2022-11-04,1644.78,935531.4781,0.0,0.0,1323.0
2022-11-05,1626.98,351385.5362,0.0,0.0,1323.0
2022-11-06,1568.29,414863.9525,0.0,0.0,1323.0
2022-11-07,1568.1,642409.4494,0.0,0.0,1337.0
2022-11-08,1334.77,2339916.5089,0.0,0.0,1356.0
2022-11-09,1102.73,2494797.9357,0.0,0.0,1393.0
2022-11-10,1299.28,1975955.6767,0.0,0.0,1390.0
2022-11-11,1289.28,1308087.1498,0.0,0.0,1355.0
2022-11-12,1257.25,547772.9172,0.0,0.0,1355.0
2022-11-13,1221.49,547410.5304,0.0,0.0,1355.0
2022-11-14,1243.28,934742.0059,0.0,0.0,1325.0
2022-11-15,1253.23,632825.568,0.0,0.0,1300.0
2022-11-16,1216.17,673339.7215,0.0,0.0,1288.0
2022-11-17,1200.43,530537.3488,0.0,0.0,1228.0
2022-11-18,1212.58,360218.5337,0.0,0.0,1189.0
2022-11-19,1217.67,209789.5888,0.0,0.0,1189.0
2022-11-20,1142.21,531108.7607,0.0,0.0,1189.0
2022-11-21,1107.34,922647.9454,0.0,0.0,1177.0
2022-11-22,1139.6,748884.5791,0.0,0.0,1149.0
2022-11-23,1184.52,636927.1594,0.0,0.0,1184.0
2022-11-24,1203.73,486080.6123,0.0,0.0,1242.0
2022-11-25,1199.3,391430.1658,0.0,0.0,1324.0
2022-11-26,1205.6,379840.8116,0.0,0.0,1324.0
2022-11-27,1193.88,286386.7986,0.0,0.0,1324.0
2022-11-28,1167.77,478795.6093,0.0,0.0,1347.0
2022-11-29,1216.49,512143.5861,0.0,0.0,1327.0
2022-11-30,1294.46,815679.2717,0.0,0.0,1355.0
2022-12-01,1276.41,430018.7391,0.0,0.0,1338.0
2022-12-02,1295.59,371559.585,0.0,0.0,1324.0
2022-12-03,1240.51,347148.2588,0.0,0.0,1324.0
2022-12-04,1279.41,324129.5466,0.0,0.0,1324.0
2022-12-05,1259.41,391628.5166,0.0,0.0,1323.0
2022-12-06,1271.32,301631.839,0.0,0.0,1340.0
2022-12-07,1231.18,398559.5166,0.0,0.0,1373.0
2022-12-08,1280.18,406653.5447,0.0,0.0,1385.0
2022-12-09,1263.1,406008.0032,0.0,0.0,1386.0
2022-12-10,1266.35,182278.6396,0.0,0.0,1386.0
2022-12-11,1263.01,180494.902,0.0,0.0,1386.0
2022-12-12,1275.4,363750.5481,0.0,0.0,1361.0
2022-12-13,1320.69,659393.8825,0.0,0.0,1357.0
2022-12-14,1307.44,554465.5717,0.0,0.0,1401.0
2022-12-15,1266.54,390051.2447,0.0,0.0,1528.0
2022-12-16,1166.83,751422.2779,0.0,0.0,1560.0
2022-12-17,1187.16,328881.6281,0.0,0.0,1560.0
2022-12-18,1183.06,252260.144,0.0,0.0,1560.0
2022-12-19,1167.82,296832.7228,0.0,0.0,1548.0
2022-12-20,1216.94,465184.1943,0.0,0.0,1596.0
2022-12-21,1213.78,245723.8377,0.0,0.0,1723.0
2022-12-22,1217.71,336761.6598,0.0,0.0,1650.0
2022-12-23,1219.99,278604.2882,0.0,0.0,1515.0
2022-12-24,1220.41,123701.5301,0.0,0.0,1515.0
2022-12-25,1218.51,231652.0612,0.0,0.0,1515.0
2022-12-26,1228.11,162723.0857,0.0,0.0,1515.0
2022-12-27,1211.55,262437.6398,0.0,0.0,1515.0
2022-12-28,1190.15,367828.8914,0.0,0.0,1515.0
2022-12-29,1200.49,249130.4869,0.0,0.0,1515.0
2022-12-30,1199.99,266014.2115,0.0,0.0,1515.0
2022-12-31,1196.13,139379.2811,0.0,0.0,1515.0
2023-01-01,1200.34,117762.0685,0.0,0.0,1515.0
2023-01-02,1214.0,252794.14,0.0,0.0,1515.0
2023-01-03,1214.55,205519.4944,0.0,0.0,1250.0
2023-01-04,1256.9,457799.6648,0.0,0.0,1176.0
2023-01-05,1251.24,272805.33,0.0,0.0,1146.0
2023-01-06,1269.14,342344.2023,0.0,0.0,1130.0
2023-01-07,1264.07,129474.2884,0.0,0.0,1130.0
2023-01-08,1290.16,213636.7848,0.0,0.0,1130.0
2023-01-09,1320.39,581727.6968,0.0,0.0,1139.0
2023-01-10,1335.62,459660.2307,0.0,0.0,1096.0
2023-01-11,1389.39,472465.9556,0.0,0.0,1043.0
2023-01-12,1415.92,877712.4492,0.0,0.0,976.0
2023-01-13,1451.2,499377.8649,0.0,0.0,946.0
2023-01-14,1549.9,940691.7774,0.0,0.0,946.0
2023-01-15,1552.52,387832.7138,0.0,0.0,946.0
2023-01-16,1576.94,574622.8953,0.0,0.0,946.0
2023-01-17,1565.57,506771.7219,0.0,0.0,921.0
2023-01-18,1511.43,752534.8857,0.0,0.0,874.0
2023-01-19,1551.09,308679.4645,0.0,0.0,801.0
2023-01-20,1658.52,440570.9974,0.0,0.0,763.0
2023-01-21,1626.66,494248.6009,0.0,0.0,763.0
2023-01-22,1627.44,431729.6909,0.0,0.0,763.0
2023-01-23,1626.29,407267.1156,0.0,0.0,740.0
2023-01-24,1555.97,462275.3243,0.0,0.0,721.0
2023-01-25,1611.94,646474.9166,0.0,0.0,703.0
2023-01-26,1601.09,532777.8466,0.0,0.0,677.0
2023-01-27,1597.62,512093.3875,0.0,0.0,676.0
2023-01-28,1572.1,313675.6574,0.0,0.0,676.0
2023-01-29,1644.72,551767.9134,0.0,0.0,676.0
2023-01-30,1566.2,595055.3281,0.0,0.0,680.0
2023-01-31,1585.33,348856.6751,0.0,0.0,681.0
2023-02-01,1641.68,474617.1709,0.0,0.0,668.0
2023-02-02,1643.12,629188.8874,0.0,0.0,640.0
2023-02-03,1663.52,464815.032,0.0,0.0,621.0
2023-02-04,1666.38,308227.1295,0.0,0.0,621.0
2023-02-05,1629.02,413579.6748,0.0,0.0,621.0
2023-02-06,1614.29,384119.4197,0.0,0.0,608.0
2023-02-07,1671.03,451922.4,0.0,0.0,601.0
2023-02-08,1650.43,417966.2539,0.0,0.0,603.0
2023-02-09,1545.35,658011.6964,0.0,0.0,592.0
2023-02-10,1513.06,484654.2199,0.0,0.0,602.0
2023-02-11,1538.51,289691.5708,0.0,0.0,602.0
2023-02-12,1514.83,286758.374,0.0,0.0,602.0
2023-02-13,1505.24,643152.3904,0.0,0.0,616.0
2023-02-14,1555.71,668964.3768,0.0,0.0,563.0
2023-02-15,1674.92,581207.8586,0.0,0.0,541.0
2023-02-16,1637.84,832723.6731,0.0,0.0,530.0
2023-02-17,1693.87,579934.663,0.0,0.0,538.0
2023-02-18,1691.62,267305.7813,0.0,0.0,538.0
2023-02-19,1679.75,401023.0477,0.0,0.0,538.0
2023-02-20,1703.27,451314.8335,0.0,0.0,552.0
2023-02-21,1659.76,520354.4688,0.0,0.0,594.0
2023-02-22,1643.14,528875.4809,0.0,0.0,674.0
2023-02-23,1650.53,501305.9717,0.0,0.0,816.0
2023-02-24,1607.8,512515.4982,0.0,0.0,883.0
2023-02-25,1594.58,290188.0391,0.0,0.0,883.0
2023-02-26,1641.36,308607.9941,0.0,0.0,883.0
2023-02-27,1633.45,431861.4129,0.0,0.0,935.0
2023-02-28,1605.23,393523.1647,0.0,0.0,990.0
2023-03-01,1665.22,474456.8235,0.0,0.0,1099.0
2023-03-02,1647.86,423023.8082,0.0,0.0,1145.0
2023-03-03,1569.45,742816.5976,0.0,0.0,1211.0
2023-03-04,1566.73,237640.2606,0.0,0.0,1211.0
2023-03-05,1564.58,299240.7415,0.0,0.0,1211.0
2023-03-06,1565.84,307709.3011,0.0,0.0,1258.0
2023-03-07,1561.96,437947.9032,0.0,0.0,1298.0
2023-03-08,1532.38,460101.7658,0.0,0.0,1327.0
2023-03-09,1437.32,718485.1364,0.0,0.0,1379.0
2023-03-10,1426.44,960262.4509,0.0,0.0,1424.0
2023-03-11,1471.97,1374859.6201,0.0,0.0,1424.0
2023-03-12,1580.33,1002355.0929,0.0,0.0,1424.0
2023-03-13,1673.45,1228063.6053,0.0,0.0,1465.0
2023-03-14,1699.4,1283321.2355,0.0,0.0,1587.0
2023-03-15,1649.96,963142.4833,0.0,0.0,1603.0
2023-03-16,1673.73,627985.6119,0.0,0.0,1560.0
2023-03-17,1789.27,907528.2825,0.0,0.0,1535.0
2023-03-18,1758.84,711614.731,0.0,0.0,1535.0
2023-03-19,1780.68,541131.8908,0.0,0.0,1535.0
2023-03-20,1732.78,682848.1248,0.0,0.0,1542.0
2023-03-21,1801.23,742348.4999,0.0,0.0,1512.0
2023-03-22,1734.33,891287.6009,0.0,0.0,1456.0
2023-03-23,1813.79,732061.103,0.0,0.0,1484.0
